_id,restaurantName,restaurantType,restaurantURL
61b84a4e1d9cd1a455d21454,胖胖老爹炸雞,American,https://farm5.static.flickr.com/4331/36330412174_0c02551514_b.jpg
61c57ef30bb8dd356b4c96fd,"Chili's 美式餐廳",American,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAOAAAADgCAMAAAAt85rTAAAAzFBMVEX////XJhZhlTPUAADWFQDXIxNflDDwwrn99fPXJw765+RakSjWHgvke25dky3aNyP20MzfXE3miHtYkCHonpK0yJ3s8ueNsG9YkCNUjhu7zalwnUVzoE3okYm1zKT4+vWivYjK2Lfm7d3Q3cSqwpL09u9Piw/o7uCGqmT67unrqqBomTrM2rza5M6ivYmYuH1+plfuuLDcSzz12dPbQy/gZVfss6rcSTmIrWpLigDcV0fhcWHqpJnkgHPzysPaNB/mjYDkeWbgbFbnlY2UCmgYAAAWpElEQVR4nO1dCXuiMLdGQdopNp1OKgZwxAWQFhG6a6fLfLf//z/dhCQQcKmo2Pnu5X3mmdaqwEtOzpaTgyTVqFGjRo0aNWrUqFGjRo0aNWrUqFGjRo0aNf6fwZ2EY7PvDKKo2/Uxut0omjn94Tic2N99bXvBdkPT6VoAIQNCpGEABvI7gviPSO11O8OR+92XWh6TqeMH0EAaUJuboKqEv4Zpjv9rWNphv6sZ8CtqeZ5Ag14QmaPvvvgvMTF91UBluAkssdgG0VD/bg7rEc6sXcllJA0YdybfzWQVwoFmaKvIqVipIISggeERkF8StQOAuuILWFy9oPOPCevECeAyOyxzBgRBPB90zOl4NNJdO4Grj8Lx1HQivxfgEVsx6ADBnvnvaJ2pvzR2RGl4VtSZTjZPKVsfTTvdpof1beEIKkTd8EgENkLvIAgK5AwUD6ZlhMwOzagHi7cJGJb53a7AJNKQeFWqBrW4E+50Wfp0ZiGUu1kqbDrfKamjrqHl2BlgMN5LzetmNz+Q+I7Nvotinh5mZzkHmTTjqGmI46jBwXdQdCMk0AMQDA6nEuxxNyerCHQOduxt0YGaOHj+9MDawDV7XiaqKlKHhz3+FxgHSFAEqlOJexWKCkyF8fFsv9s1hBM3q7PIuoMyigA6VZ2ngGEmndhSVSs6dqeZUUTBMSy/OzdS6YTWtPLz2X0VZfdzVvn5xs10+BA0Kz8dgTvzUo0KexVHUzOPCwyA1d9NDj2b9MCock64PhdPrNSOGrSFViqncFDZWUYBF0/tSNIpwEkHEfoVeeBj4RTf4DuNenwQtaAS6TG5eILjDx/FgN9hoFVgLzqcH7K+LWUy5g6qCseHPrbD+RnRoQ9dAm7MxdQ4sAWeMX6qcVS/Xh/EcZQTmCi9kIMy5OOnooOLxiaEngaA5uWmfIdPxEMy7DN+AGzy6H/evp+VPPDZ7cn96fq3A8rFyKmUIWQ32zuYphlyfs1NftJPGePhpsyBTxv4K8r59Zq3R/y8ce7P3Fyp6EDaLvTYeayN1u9EbjQaLfmlxJFPf7TwVxT5ffXbY67YvLxlD1mAAZoHMcc6Sz+DYPPhEoKNhvJn+0MnBAnF1aKte1xlFmZGCNkl9bY/13rE1PaoG+VTSgk25E0T8ezXy/PlFZ92jGBDeePv21ePzy9v/Ahd5hoaxdkWsrFFg5JkViBCTOC/ilM4QeVq/WduZaXdbis/GANOsNVm75/9SN6Xb+lLl2VliiMoSVPGcP/Ygs8D+KXKSgmer/3ImcxG7I6+TgkqTM/cKY2czDKN6S1710yxq9qe8aHLjc7X7ucWBH/T68difJ+85gQbjNBPmb//yr5hkfOrq6Yak6yChi0NNgvQFsHtFgQf25zASfK6SPCGE1R+sW/4RAGg/qqDxfTS9nOtmIACa4vPliJIDUOR4NMSwZ5KxHCl+tbZqtuXymED7Ka6vUXdguArm4MNmerRIsH7VESZlkm0JVqTLpxSK6L5ZSjl4aBtJ6C0FcHTBh1C+Td7XSAoncs5JUSnYLAugGfzx9jZP9a1MvN4C4LS2bOsKLL8l71cIii9yeQDL0ypJopkvcvpUhdE3WYCrURECXrbCfk2BLEUPr3epr7nMkHp+vb16Z6fH34hPsxJ3tUY6sbWGpRgO4I5rCAogMRo6ubpQb2sXYdwlgygqm7p0R6cIHY4tS+CPuaywZ1CQ5dqGLjSCK3AwQlGHoy+urndPYawj6iPvazD7OufJycnPwthXJ7g6fvT6+vT+4ZoVvqKoDRKJ//pz9ub15unk6WPjeBqb3wbJCq6iZYchfe3D5ni4ve98HeR4P0j0YZYX8qP4kek198U92sI3rP3X8Uv2TeXcnI4fLyPt9zxmKvT1HbIhDHxNgpC8v4gK+yqSKj6JxtGgeCVzF2WhpLaBHL9yWXiC31YQ/CFf0AIgW+V7GjklI85yWHROCqf7B5oq27NuXCy5Mra6aWkBH+lLiW16tmc5M5062INwUt2dOarErxx7yc9pZIbRCposLyloKFYXrhP75RGAa30ZnOCrYd2/pLkNE+zA8E3ftuwkLb5KIoMqaoA3bL8qITm1ZPN+Qlny2I3TrBBLrolcMwyEuUJsoO2lPOT96cXdvr2g3BROqTGrKyMdpLvaTkjf05P0Jbx2W4fuegolwWC5BMXD0o6VRvK310J2g9t8fWrnH87QQ/spEf95a/xrNIzvZoTzkD+WSCoPOJP2LftbJB3JfjOTvnJDvCL3uI0miLoJMpiXcixDjaz8sLA2xctKh/ctt2mWiVPkKeQzvjl8wC+PEFGSOaK007kX0hSSTx7WjbBxr4lhlosGhWSZo9MZJ9zBNuX/P2M8tOOBO+YhBYuIlNbUhq0GuUIDpMR1MRxpwOYzieJ5JBWERRctQd+/b93JMjelzNBepPbbVlUMulsKlcnRK2guArHLi7nVP1RVoioQPCca91fexIUlMrT493vvANIg4KSDje9K1BIVfxV8vJHcEbMfptd3QqCn/sSZCLQft5kBKZU4ZdLPlH/QBOOS8+l5BdX7h9k+Y5pkBUEr/YlmIrA5QavnZpsUModtZOFK7WZ/eWUqZifhU9ep55hFQQzNfUhmr48aGAO5mUIuqCYcGUWSV5/J6sgKH2kjr388LROTo3yGWCabhKtxBMzsUcmeJt6D9g9+nG1+uw081DKEFIHT/Rgada99ePIBJmiZl9TlL+rFksTQ1guqp9QxSQQPP8mgtKlGHvhcPBzWVCpwgjKExRH8E/7W0QU41c+IFQ+inqOEywTTzARFRQTW1aQ162nV0dQem/kKLbkp8KZmYiWIqgVFRMbwXXL6VUSxBruQkwkLDGE5ZUMS4oLYs1MbsHQH4kgPvhdLjGTz67tYCaYWINs1P+yyOFy7VcqJYgF9UXIZD2K7zBDXy5pwcLkzBd94ovLy5PQPgpBktBLkwS5QgfqqmmDUgRpxhhluap3fvlFGb1+Zl5U5QSzDFT+Kmhoh8rVeHZQISVzzY7946PwyRelrRyLoPTGDygW49DQruQq4XhJM13wDEwu65zkgeTKCNqvzw9/BdNrM980pwpYwFtuJZstnXlZXpulRwpZyTMyLaoj+Ijjd+VBYMiuoi0UjNGUhQpL8eOFfkLxMp+EjVYjm+HXZE2apSkrIEgPqQjDdbOszJmOKZv5jZbiiTRyaf/g1v7nB7kgltSrgCBPqmW1U4yguETH0oZl68hNmjcUColeU6+3JV/enl2fnfyhLhRLClZHME07Zh6j4MvQ5INg0bYDq/QTVs/sj8wjbCfLZ8z/Zla3AoI8Gmy12fvvnHFmjWlcsMMSKL0xYhAiBJ8i5OpyMqfcsrd/JH+4Za9FK9FZTnBuhw6rkRHMy+PS2lIjq3nJXIGM4E2B4H2BYGp7OMHHghZNF+Ja8sWfPx9pHZGgyOlAeOV3T9Khz/mw9vLqmeAWXi8T5ITStQReXcgJ8nidE+SEUkN/nk38Nl+Va2FTfHpzRYuh2CrYLpWxrBBWXH9ZWh9syYLbe76s4VjqPSX4KecJpqPOCF4rxUzv0vonPieWmb9Xn5/JZ+bUp9y2UkIEq7LJrU/Y+RVeJZXPhP6FUiR4poi5b4kXhKYEebiexj8nTDFnrtptO3fKlpIsdPzn5n/uyblZEYK3S/G2zWq1807ez0tZabcI2kqhwkA6fSQFvbkykrMX8nE5JYjvEKnpzRzaK4X8IYsOTi6S16IvenMnJ1/Ch1bkC5"
61c57ff30bb8dd356b4c96ff,TGI Fridays,American,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Tgi_fridays_logo13.svg/220px-Tgi_fridays_logo13.svg.png
61c580ad0bb8dd356b4c9700,Uptowner 費城美式餐廳,American,https://twtmsearch.tipo.gov.tw/imageLoad.jsp?path=/20170609/105/069/355/pic_105069355_20161125_1.jpg&formatName=jpeg&pathCodeId=282_pic
61c581490bb8dd356b4c9701,Ponderosa Steak House 龐德羅莎,American,https://www.findcoupon.tw/uploads/logo/1000/1034.png
61c582630bb8dd356b4c9702,Nola Kitchen,American,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSH-qXmfJuE6ykWOF-vt4ScARXEav4CZvTERENfvFFfWBnR-9Veh7tdIIA3DznQkDctsSM&usqp=CAU
61c584d50bb8dd356b4c9704,鼎泰豐,Chinese,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAU8AAACWCAMAAABpVfqTAAABMlBMVEXYAgL8/PzYAAD9///UAAD8///RAADbAAD9+vr8/fz88vL8+/v99/f86+r8+/r+/P355eX33NzpfXzwtrbnb2/0ysrtp6f44eD87+7urazbKCnrnJvjYmL209Pok5L/9/jfWVfoi4vshoXgSUjdNjbmdnXjQEHiYV3yvb7pWVr34d7YFRHsa2z5zcveTU3aIiT+2NvRGg/61M/ylZfodX7lR0bdennXOTTfTlbpYmrpgojZLibxgIH1tbT0nJT0m6DlubDUbGm+AADmcm7r0MrwioLppZ/jd4bYARjgLzfdVU30wcfytLrQMjDMkZTkd3DsbWXVU1jXYV7PMDr3v7fLLCbchIPgYFPKRUDthHbNoJDGfXf8w7zi29jPWlLfpaXdiXT27eDxnZDg+fHbkI/MbnCWujSCAAAYUklEQVR4nO1di3vbxpEHZxYgCQMUQRJ8gATFB0hRgkjaVmTFUWQnle2T7fSccx03d5dem57v//8Xbmd3AYKSXZHgo02LyfdF5kP7+GHeM7vStIwyyiijjDLKKKOMMsooo4wyyiijjDLKKKOMMsooo4wyyiijjDLK6O9OwOnvvYZ/HgLGNDDof3/vlfxTEITd6sOH03p3ZrAM0Y0JHrmIuq4jFh7/mIn9RgRcxuEV5hRhcbA7Dv0XUNEQns1Yfkp4FhWifWNHuwaY7+pZLR4UxCYANMb2rr3YV+jkmecUrcMDRMGm+nBXc507T3Y0dF6gSD4KhOJfhGWvW+9f7BlQxjVnh2nhm4vx10+/aRKgONkNgwJrocN2MvLl4285mIxxD6Vd+jDn3NppXzU5f2BrJxN+eSWGj1hngvgjvZwc6LncQW83k40LeLKb7T3Rm4ERDnzzbMalrM8gRCls2Az2CihAA4vNwbPp89GMKxuAIWdRPNvFGoC1Eau72d1I103fJAyrmNMd0OaRgcXycJ+AsmMkm06uEjYqwID1+YLKu1DjEFqIld08qZGeKyLZU/yO9lNjmhMD2tinU8F5JvKUcjragcYqnD/tXSyBdRHtuXqx1QlYraxL7HJX3/N/cQUGcFWSO9PtcH94guEs8OQLeaixa45ncxdLCLk8+oyshrAb22JUYOMpCjjxYHJkkKDrZa64WNAyxbuDPco7/NRM4pnj8niaxHN7bASszgc++R1ox53Ts7b7y5bsBLBBQTGiyzUlSMUZkBdqdDFXLNb36oKOLbkWJS/fBZI/FY6kT7cyDWeXC1Jv1ouGjZJebmVk0FrSaeaGh1he4ok9rgQ0o8W34u43JOuIxVi+XySZwYCR/tTLKsbwBo97G21buNVEEIoQLCe8GOTWzw+2sn6l/0nIHcGIAUoxY6NGiXY02St7spqYvmqwi1cNbi44R3J51xuGjDFOhMbbYPj8+ez4eHTWvvILiwwB2s7zf7vZyvqBlen5oGPyRYuVnosNuYxNFNse70F9xhBFeDKyEv0Gd4SJY7Et1kCsmjPnG+B5Hgm3NBgCTMt9QjZpS6kRchpyfod+SCdvpvDk+5CcO919ShfitLHC0+XYHYVgkPXlBh9r4luaS8++n/75zu0IxsghazqDCxFl82BM24YkAlQc3/BmPuaaYryR2NBbYgxL4rlzBQpzt6P2IvHMFcY9zjh2lZvFC/5GYUYYQmgTnu3UeAJ8QFKVEWuW/DONKgBUCwie+dPjbXAOsNe2KbUyxQpCpkjg+Adn9Gbzze6zhCM8qMi9sJEUirdvdWErhtplKVc0x+Izybvp8dS0/FWzbNvWAwnotfI8b566Qg+Yl1vYC8BD9cBEVEfhnRAqkNBykIV22cJMX6b3KObRYv7MWSXJQlU25m8cSjyfi6X9sAGeQLyR//2/H+akpYXx6YsXsU7dStQA7EThiVMCcSAWfaSx4CkFTdjR4NWvlZ0CCsAFuSSTnF/H0ijWUWNH/Kd1ThhKC8lh2GgqLmusfkAzmK7TjKBE27Yn325FDtm7okoldejVQPlLffUmN7U+YnWXIg+EFDeBfArI24pBRXbGBoopuDss8HTFgjZMIHJhe1lSj0wXvg13l1o/Cs90K3sEOO9+pKjZJHZX+nN2E/GJPnnKXSq+i11y6HFkuEG5abpjsFoT7VlXLOeavqT4cwP9KTRXdxHRciwPzBd/JN8sqvaD8Pg3Mkw0Qp2k6kZYHpPHYcV5JVEQy+U2c1NWWEEzTiJ50qtw+N67aEmvW+Ep+fN5evvOoFc3F/Ydm+3RWLie4lMVO2lvfjydbyaOkit0J2QhALEqjrRCPK+c3NxhlknOL/wLYCIOxHKenZaLqiJnUSwImkPeY/rcMoT1Eia9pXd5GXqK2Itp+bDTrX/3mL6DqQxGbLeB+WKpOf9YYy0UCbtx/Vamp7ZDBhXywe2hFllxHvxqjVjlNPKkWmFDPNnxIjBCnIQk1qOT77jpJc5975cEklIgrBTRPLCRqsQCmHKYK/6m8JKuqNXFWsKzvks8RRbBzC8CNMdIlOC/Fe48NDaUd+9sMrnyxbClMelIuCb3/uQqMMJ6bpl7OilmmSFX7iD4VEKHHl/1oxLl5Ge9QWNphpx5s0OL9IYeqMi0AkyIS4aU3FLs6eRl7bUs8Nwgn0DSPVTCxoe8nKgU0wOrsLzXNLOAdoVCK0K+U1bD0YSu2EMiZaCoON6lAq2KWIzsKmi1q/prxq5iTSc8KVJKQhP8YZN5QAZg+J6x8bR4C0Rh8KV70UiRbgoKfIBz/tSqkZJGp1Ut335S8YezHfKnDMtyQmuBcFjgSFcJLlGDpJTFEwHFNxt0iAGbWWTj9PKs1ri7UTRN2y9RjJ9CSYvQDmeygwDjMfXlKfRGW1V08H3aXaxC56IYqGoBkh3DQYH2eHIyE27Mf7gFsY4HzZTRGn8i+UGUPEe8DWez//qGnlro9T9UUvhL7JVwjIgVev26tYSiJMuvnIfS4As8dxkiCYuoTxNIia0FYw8MY3Z95Tdjg5GuyMu9y/mrk4M7LKlGLR70f8dkf0zKLiPpGJFB4iMYZpQUwQdlt1Wv18aBJ3paIT8rSZ4drz/HyiSzCKQpFy6hrL4xqDRucZO+fvmYbzK4shKj6CIB4tZbdiSa7tfRtOmiI+GjoCOMXmxM0e/M5ZbiZj5gQ6G3/N2G8EJACrXZYFIuu7MFg7DObcnka3mz7uh/+OgmTTii88Pzp69pp+GHaOuH9jO2wR6lz4eNid8olyOt4gqWVHwfrUar0rPcZd0D4uoKqWzOO9WoAwxklHkLz946Y2vGxbPD5ENB6+1YRulCus9ixwy7DNKH7pWowBdJE/qhlH7G8jf5pCYb98ZbKtR+nlj3tnWIsnLAnNhCyqw31+trZbtg3LKwmBz7ZK4lGBHYN4vIwfafpPUeAE6Sm+Dr7NIsDMZtv2Gb9iRcfFVLqVNWXYpwP5fwjCrECk/hzLgTxzTdemetJthwYi2PTTK49PvAvk2U53QvPeNUo6QHl7Hy85DHmEav37AEw+JOM0rLBJqZ3HNRX6TlZGoBm/VOEDKDheHCWq029G11waMtOW5C/rSOvWBRf5iaQ5k3mpChK/ijS2YMX3WrTuyAIp7vr8/GW7IVh5RwtbQotcBl1ZobwjyueyYJZOO4VI6KdYSzBfO/JvprOLgLFtWxH6ZElFSlNxyO5/TM2SSRfcGmfbW/oz+Q9+OA4sHVaTArEYRyetEPYF2mWwt7iQqjUuOtDP9LouGaGyEzCRpoXy0a0dA5TW3nASJbHplYymUNx+FWqtErk1cXWqbodjzOiQYXv0IgC55PaVXFlB30PAYUdHIaaIZ4ZvjOEB9w5mlFDCPDsYWd5/C/2Xz3Mg7iwn8WyPz/PgHlsVBnNKoFQjkCK+uRTyTxTNvjByyo++3TnsF/fU7dgqqbQOT+Djz1pcjPrsQJErTSc2hE7JqsUPMlF34WfDhp+KO9doJFNQf6P7P1uMDydVQVTDkqk+UgpVLwj0y+TSpaZcjDMzWtEcTaFkuTnzbcPQ/jHTJCnFVaBdT5fzstat6dXovqYMConKTy1x41H+gPGS"
61c585580bb8dd356b4c9705,春水堂,Chinese,https://page.line.me/qzd4866p/profile/img
61c6bafc3eeabd17711463b5,Coco ,Japanese,https://www.citylink.tw/songshan/wp-content/upload…%E6%9D%BE%E5%B1%B1-COCO%E5%92%96%E5%93%A9-720.jpg
61c6be833eeabd17711463b6,爭鮮,Japanese,https://www.synology.com/api/company/casestudy/getImage/16?type=img
